[2024-08-02 03:11:42] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-08-02 03:54:25] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:25] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:25] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:29] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:54:29] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:54:29] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:55:43] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:55:43] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:55:43] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:59:51] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 03:59:51] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 03:59:51] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:00:37] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 04:00:37] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:00:37] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:05:25] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 04:05:30] 	POST /api/auth/signin [status: 400 - message: Số điện thoại hoặc mật khẩu không đúng] - body: {"username":"0123456789","password":"123456"}
[2024-08-02 04:05:32] 	GET /api/admin/menu/search?keyword= [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 04:05:32] 	GET /api/admin/menu/get-all?page=1&perPage=10 [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 04:05:32] 	GET /api/admin/category/get-all [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 04:05:32] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 04:05:32] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:05:32] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:06:30] 	GET /api/admin/menu/search?keyword= [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 04:06:30] 	GET /api/admin/menu/get-all?page=1&perPage=10 [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 04:06:30] 	GET /api/admin/category/get-all [status: 401 - message: Không thể xác thực, vui lòng kiểm tra trạng thái đăng nhập]
[2024-08-02 04:06:30] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 04:06:30] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:06:30] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:10:58] 	GET /api/admin/area/get-all [status: 500 - message: ]
[2024-08-02 04:10:58] 	OPTIONS /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
[2024-08-02 04:10:58] 	GET /api/notification/get-notifications [status: 401 - message: Thiếu mã JWT]
